timestamp,vehicle_id,lat,lon,speed_mph,address
2024-06-15 08:00:00,TRUCK-001,40.7589,-73.9851,0,NYC Downtown
2024-06-15 08:15:00,TRUCK-001,40.7591,-73.9849,8,NYC Downtown
2024-06-15 08:30:00,TRUCK-001,40.7595,-73.9845,5,NYC Downtown Area
2024-06-15 16:30:00,TRUCK-001,40.7598,-73.9842,0,NYC Midtown
2024-06-15 16:45:00,TRUCK-001,40.7600,-73.9840,3,NYC Midtown
2024-06-16 09:15:00,TRUCK-001,40.7602,-73.9838,0,NYC Central
2024-06-16 09:30:00,TRUCK-001,40.7604,-73.9836,2,NYC Central
2024-06-16 17:45:00,TRUCK-001,40.7606,-73.9834,0,NYC Uptown
2024-06-17 08:30:00,TRUCK-002,40.7282,-73.7949,0,Queens Location
2024-06-17 08:45:00,TRUCK-002,40.7284,-73.7947,6,Queens Area
2024-06-17 09:00:00,TRUCK-002,40.7286,-73.7945,4,Queens Central
2024-06-17 15:20:00,TRUCK-002,40.7288,-73.7943,0,Queens West
2024-06-17 15:35:00,TRUCK-002,40.7290,-73.7941,2,Queens West Area
2024-06-18 10:45:00,TRUCK-002,40.7292,-73.7939,0,Queens South
2024-06-18 11:00:00,TRUCK-002,40.7294,-73.7937,3,Queens South Area
2024-06-18 18:15:00,TRUCK-002,40.7296,-73.7935,0,Queens North
